,Raw_Tagged,Clean,Bio_tagged,Span_Tagged,Coarse_tag,Coarse_Span_Tagged
2897,<aneka-bAhu-udara-vaktra-netram>Bb <aneka-bAhu-udara-vaktra-netraH>Bb <aneka-bAhu-udara-vaktra-netram>Bb,aneka bAhu udara vaktra netram aneka bAhu udara vaktra netraH aneka bAhu udara vaktra netram,B-C I-C I-C I-C I-C B-C I-C I-C I-C I-C B-C I-C I-C I-C I-C,"0,5 Bb|5,10 Bb|10,15 Bb",<aneka-bAhu-udara-vaktra-netram>Bahuvrihi <aneka-bAhu-udara-vaktra-netraH>Bahuvrihi <aneka-bAhu-udara-vaktra-netram>Bahuvrihi,"0,5 Bahuvrihi|5,10 Bahuvrihi|10,15 Bahuvrihi"
2898,<yahUdya-<puro-hitasya>U>T6 <tad-patnyAH>T6 <hIbrU-vAkyam>T6,yahUdya puro hitasya tad patnyAH hIbrU vAkyam,B-C I-C I-C B-C I-C B-C I-C,"0,3 T6|1,3 U|3,5 T6|5,7 T6",<yahUdya-<puro-hitasya>Tatpurusha>Tatpurusha <tad-patnyAH>Tatpurusha <hIbrU-vAkyam>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha"
2899,<DArmika-SikzaRe>T6 <<na-DArmika>Tn-kAryaM>T6,DArmika SikzaRe na DArmika kAryaM,B-C I-C B-C I-C I-C,"0,2 T6|2,4 Tn|2,5 T6",<DArmika-SikzaRe>Tatpurusha <<na-DArmika>Tatpurusha-kAryaM>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
2900,<<pada-arTa>T6-pratipAdanam>T6 <BaNgI-antareRa>Tm <<<vAkya-arTa>T6-anuBava>T6-kAraRa>T6,pada arTa pratipAdanam BaNgI antareRa vAkya arTa anuBava kAraRa,B-C I-C I-C B-C I-C B-C I-C I-C I-C,"0,2 T6|0,3 T6|3,5 Tm|5,7 T6|5,8 T6|5,9 T6",<<pada-arTa>Tatpurusha-pratipAdanam>Tatpurusha <BaNgI-antareRa>Tatpurusha <<<vAkya-arTa>Tatpurusha-anuBava>Tatpurusha-kAraRa>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha|5,8 Tatpurusha|5,9 Tatpurusha"
2901,<<viSezya-vAcaka>T6-<nadI-padasya>K7>K1 <<gaBIra-nadI>K1-tIre>T6,viSezya vAcaka nadI padasya gaBIra nadI tIre,B-C I-C I-C I-C B-C I-C I-C,"0,2 T6|0,4 K1|2,4 K7|4,6 K1|4,7 T6",<<viSezya-vAcaka>Tatpurusha-<nadI-padasya>Tatpurusha>Tatpurusha <<gaBIra-nadI>Tatpurusha-tIre>Tatpurusha,"0,2 Tatpurusha|0,4 Tatpurusha|2,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha"
2902,<<na-Bedya>Tn-kavacam>K1,na Bedya kavacam,B-C I-C I-C,"0,2 Tn|0,3 K1",<<na-Bedya>Tatpurusha-kavacam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
2903,<hetu-liNga-upaSAntizu>Di,hetu liNga upaSAntizu,B-C I-C I-C,"0,3 Di",<hetu-liNga-upaSAntizu>Dvandva,"0,3 Dvandva"
2904,<kAraTaka-udeka-nAmA>Bs6,kAraTaka udeka nAmA,B-C I-C I-C,"0,3 Bs6",<kAraTaka-udeka-nAmA>Bahuvrihi,"0,3 Bahuvrihi"
2905,<<ni-magna>Tp-prAya>K1,ni magna prAya,B-C I-C I-C,"0,2 Tp|0,3 K1",<<ni-magna>Tatpurusha-prAya>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
2906,<<nir-vyAja>Tp-mitram>T3 <yuzmat-fte>T6,nir vyAja mitram yuzmat fte,B-C I-C I-C B-C I-C,"0,2 Tp|0,3 T3|3,5 T6",<<nir-vyAja>Tatpurusha-mitram>Tatpurusha <yuzmat-fte>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
2907,<<kziti-tala>T6-parivartI>U <kzIRa-<<sarva-aNga>K1-cezwaH>T6>Bs6,kziti tala parivartI kzIRa sarva aNga cezwaH,B-C I-C I-C B-C I-C I-C I-C,"0,2 T6|0,3 U|3,7 Bs6|4,6 K1|4,7 T6",<<kziti-tala>Tatpurusha-parivartI>Tatpurusha <kzIRa-<<sarva-aNga>Tatpurusha-cezwaH>Tatpurusha>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,7 Bahuvrihi|4,6 Tatpurusha|4,7 Tatpurusha"
2908,<<sarva-pramARa>K1-viroDAt>T6,sarva pramARa viroDAt,B-C I-C I-C,"0,2 K1|0,3 T6",<<sarva-pramARa>Tatpurusha-viroDAt>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
2909,<kfta-<hasta-akzaraH>T6>K1 <SatADika-mitrARAM>T6 <sa-vinayaM>BvS <yahUdya-sEnyasya>T6,kfta hasta akzaraH SatADika mitrARAM sa vinayaM yahUdya sEnyasya,B-C I-C I-C B-C I-C B-C I-C B-C I-C,"0,3 K1|1,3 T6|3,5 T6|5,7 BvS|7,9 T6",<kfta-<hasta-akzaraH>Tatpurusha>Tatpurusha <SatADika-mitrARAM>Tatpurusha <sa-vinayaM>Bahuvrihi <yahUdya-sEnyasya>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha|5,7 Bahuvrihi|7,9 Tatpurusha"
2910,<iti-AdO>Bs6 <<kriyA-viSeza>T6-yoge>T6 <kAraka-arTA>Bs6,iti AdO kriyA viSeza yoge kAraka arTA,B-C I-C B-C I-C I-C B-C I-C,"0,2 Bs6|2,4 T6|2,5 T6|5,7 Bs6",<iti-AdO>Bahuvrihi <<kriyA-viSeza>Tatpurusha-yoge>Tatpurusha <kAraka-arTA>Bahuvrihi,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Bahuvrihi"
2911,<<kArya-kAri>U-samiteH>T6 <qIr-patrikAyAH>K7 <patra-dvArA>T6,kArya kAri samiteH qIr patrikAyAH patra dvArA,B-C I-C I-C B-C I-C B-C I-C,"0,2 U|0,3 T6|3,5 K7|5,7 T6",<<kArya-kAri>Tatpurusha-samiteH>Tatpurusha <qIr-patrikAyAH>Tatpurusha <patra-dvArA>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha"
2912,<<<Soka-ArAti>Di-Baya>T5-trARam>T5 <<prIti-viSramBa>Di-BAjanam>T6,Soka ArAti Baya trARam prIti viSramBa BAjanam,B-C I-C I-C I-C B-C I-C I-C,"0,2 Di|0,3 T5|0,4 T5|4,6 Di|4,7 T6",<<<Soka-ArAti>Dvandva-Baya>Tatpurusha-trARam>Tatpurusha <<prIti-viSramBa>Dvandva-BAjanam>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha|0,4 Tatpurusha|4,6 Dvandva|4,7 Tatpurusha"
2913,<<<nala-rAvaRa>Di-Adi>Bs6-padeByaH>K1 <<<tad-tad>K3-pada>K1-boDya>T3 <gadADara-BawwAcAryEH>K7 <Sakti-vAde>T6,nala rAvaRa Adi padeByaH tad tad pada boDya gadADara BawwAcAryEH Sakti vAde,B-C I-C I-C I-C B-C I-C I-C I-C B-C I-C B-C I-C,"0,2 Di|0,3 Bs6|0,4 K1|4,6 K3|4,7 K1|4,8 T3|8,10 K7|10,12 T6",<<<nala-rAvaRa>Dvandva-Adi>Bahuvrihi-padeByaH>Tatpurusha <<<tad-tad>Tatpurusha-pada>Tatpurusha-boDya>Tatpurusha <gadADara-BawwAcAryEH>Tatpurusha <Sakti-vAde>Tatpurusha,"0,2 Dvandva|0,3 Bahuvrihi|0,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha|4,8 Tatpurusha|8,10 Tatpurusha|10,12 Tatpurusha"
2914,<anvaya-mAtrasya>Bv <arTa-mAtrasya>Bv <na-anuBavena>Tn <<<anvita-anuBava>T6-rUpa>Bs6-kAryasya>K1 <<tad-anukUla>T6-SaktiH>K1 <SrI-brahmAnandasarasvatyaH>Tm <mataya-tattvam>T6,anvaya mAtrasya arTa mAtrasya na anuBavena anvita anuBava rUpa kAryasya tad anukUla SaktiH SrI brahmAnandasarasvatyaH mataya tattvam,B-C I-C B-C I-C B-C I-C B-C I-C I-C I-C B-C I-C I-C B-C I-C B-C I-C,"0,2 Bv|2,4 Bv|4,6 Tn|6,8 T6|6,9 Bs6|6,10 K1|10,12 T6|10,13 K1|13,15 Tm|15,17 T6",<anvaya-mAtrasya>Bahuvrihi <arTa-mAtrasya>Bahuvrihi <na-anuBavena>Tatpurusha <<<anvita-anuBava>Tatpurusha-rUpa>Bahuvrihi-kAryasya>Tatpurusha <<tad-anukUla>Tatpurusha-SaktiH>Tatpurusha <SrI-brahmAnandasarasvatyaH>Tatpurusha <mataya-tattvam>Tatpurusha,"0,2 Bahuvrihi|2,4 Bahuvrihi|4,6 Tatpurusha|6,8 Tatpurusha|6,9 Bahuvrihi|6,10 Tatpurusha|10,12 Tatpurusha|10,13 Tatpurusha|13,15 Tatpurusha|15,17 Tatpurusha"
2915,<<SaNkA-nirasana>T6-arTaM>T4 <BUtakAlika-GawanA>K1,SaNkA nirasana arTaM BUtakAlika GawanA,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T4|3,5 K1",<<SaNkA-nirasana>Tatpurusha-arTaM>Tatpurusha <BUtakAlika-GawanA>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
2916,<mat-<sam-akzam>A1>T6 <Siras-Cedam>T6,mat sam akzam Siras Cedam,B-C I-C I-C B-C I-C,"0,3 T6|1,3 A1|3,5 T6",<mat-<sam-akzam>Avyayibhava>Tatpurusha <Siras-Cedam>Tatpurusha,"0,3 Tatpurusha|1,3 Avyayibhava|3,5 Tatpurusha"
2917,<<<vAta-anukUla>T3-<Sayana-yAna>T6-kakze>T6>K1,vAta anukUla Sayana yAna kakze,B-C I-C I-C I-C I-C,"0,2 T3|0,5 K1|0,5 T6|2,4 T6",<<<vAta-anukUla>Tatpurusha-<Sayana-yAna>Tatpurusha-kakze>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|0,5 Tatpurusha|0,5 Tatpurusha|2,4 Tatpurusha"
2918,<sa-nizkarzam>BvS <<<<<tad-tad>K3-<pada-arTa>T6>K1-anvaya>T6-nirUpaRa>T6-pUrvakam>Bs6 <<tad-tad>K3-prayogARAm>K1 <<<prAmARya-<na-prAmARya>Tn>Di-vyavasTA>T6-param>T6 <<navya-nyAya>K1-granTezu>T6,sa nizkarzam tad tad pada arTa anvaya nirUpaRa pUrvakam tad tad prayogARAm prAmARya na prAmARya vyavasTA param navya nyAya granTezu,B-C I-C B-C I-C I-C I-C I-C I-C I-C B-C I-C I-C B-C I-C I-C I-C I-C B-C I-C I-C,"0,2 BvS|2,4 K3|2,6 K1|2,7 T6|2,8 T6|2,9 Bs6|4,6 T6|9,11 K3|9,12 K1|12,15 Di|12,16 T6|12,17 T6|13,15 Tn|17,19 K1|17,20 T6",<sa-nizkarzam>Bahuvrihi <<<<<tad-tad>Tatpurusha-<pada-arTa>Tatpurusha>Tatpurusha-anvaya>Tatpurusha-nirUpaRa>Tatpurusha-pUrvakam>Bahuvrihi <<tad-tad>Tatpurusha-prayogARAm>Tatpurusha <<<prAmARya-<na-prAmARya>Tatpurusha>Dvandva-vyavasTA>Tatpurusha-param>Tatpurusha <<navya-nyAya>Tatpurusha-granTezu>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,6 Tatpurusha|2,7 Tatpurusha|2,8 Tatpurusha|2,9 Bahuvrihi|4,6 Tatpurusha|9,11 Tatpurusha|9,12 Tatpurusha|12,15 Dvandva|12,16 Tatpurusha|12,17 Tatpurusha|13,15 Tatpurusha|17,19 Tatpurusha|17,20 Tatpurusha"
2919,<<girijA-gfha>T6-svAminaH>T6 <maharzi-ramaRena>K1,girijA gfha svAminaH maharzi ramaRena,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 K1",<<girijA-gfha>Tatpurusha-svAminaH>Tatpurusha <maharzi-ramaRena>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
2920,<pra-vAcaka>Tp <netra-vyApAram>T6 <lajjA-<rakta-muKaH>K1>Bs6,pra vAcaka netra vyApAram lajjA rakta muKaH,B-C I-C B-C I-C B-C I-C I-C,"0,2 Tp|2,4 T6|4,7 Bs6|5,7 K1",<pra-vAcaka>Tatpurusha <netra-vyApAram>Tatpurusha <lajjA-<rakta-muKaH>Tatpurusha>Bahuvrihi,"0,2 Tatpurusha|2,4 Tatpurusha|4,7 Bahuvrihi|5,7 Tatpurusha"
2921,<<Darma-paTa>T6-sTitaH>T7 <nandarAma-vaRik>K7,Darma paTa sTitaH nandarAma vaRik,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T7|3,5 K7",<<Darma-paTa>Tatpurusha-sTitaH>Tatpurusha <nandarAma-vaRik>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
2922,<<vAk-dAna>T6-samaye>T6 <su-sajjitA>Tp,vAk dAna samaye su sajjitA,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 Tp",<<vAk-dAna>Tatpurusha-samaye>Tatpurusha <su-sajjitA>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
2923,<<deha-vyAyAma>T6-saMKyAtA>Tm,deha vyAyAma saMKyAtA,B-C I-C I-C,"0,2 T6|0,3 Tm",<<deha-vyAyAma>Tatpurusha-saMKyAtA>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
2924,<<sva-aBimAni>T6-mana>K1 <etat-arTam>T4,sva aBimAni mana etat arTam,B-C I-C I-C B-C I-C,"0,2 T6|0,3 K1|3,5 T4",<<sva-aBimAni>Tatpurusha-mana>Tatpurusha <etat-arTam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
2925,<brahman-BUtam>T2 <jIvan-muktam>K6 <brahman-BUtam>T2 <na-kalmazam>Tn <<<Darma-aDarma>Di-Adi>Bs6-varjitam>T3,brahman BUtam jIvan muktam brahman BUtam na kalmazam Darma aDarma Adi varjitam,B-C I-C B-C I-C B-C I-C B-C I-C B-C I-C I-C I-C,"0,2 T2|2,4 K6|4,6 T2|6,8 Tn|8,10 Di|8,11 Bs6|8,12 T3",<brahman-BUtam>Tatpurusha <jIvan-muktam>Tatpurusha <brahman-BUtam>Tatpurusha <na-kalmazam>Tatpurusha <<<Darma-aDarma>Dvandva-Adi>Bahuvrihi-varjitam>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|4,6 Tatpurusha|6,8 Tatpurusha|8,10 Dvandva|8,11 Bahuvrihi|8,12 Tatpurusha"
2926,<aBinava-SElyAH>K1 <<su-prasidDa>Tp-<citra-kArasya>U>K1,aBinava SElyAH su prasidDa citra kArasya,B-C I-C B-C I-C I-C I-C,"0,2 K1|2,4 Tp|2,6 K1|4,6 U",<aBinava-SElyAH>Tatpurusha <<su-prasidDa>Tatpurusha-<citra-kArasya>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,6 Tatpurusha|4,6 Tatpurusha"
2927,<<jalapracalitam-yAna>Km-cAlakA>T6 <<<sva-sva>d-<prARa-rakzA>T6>T6-arTam>T4 <pra-yatnam>Tp,jalapracalitam yAna cAlakA sva sva prARa rakzA arTam pra yatnam,B-C I-C I-C B-C I-C I-C I-C I-C B-C I-C,"0,2 Km|0,3 T6|3,5 d|3,7 T6|3,8 T4|5,7 T6|8,10 Tp",<<jalapracalitam-yAna>Tatpurusha-cAlakA>Tatpurusha <<<sva-sva>Dvandva-<prARa-rakzA>Tatpurusha>Tatpurusha-arTam>Tatpurusha <pra-yatnam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Dvandva|3,7 Tatpurusha|3,8 Tatpurusha|5,7 Tatpurusha|8,10 Tatpurusha"
2928,<<<boDa-janaka>T6-tva-<ISvara-icCA>T6>T6-vizaya>T6,boDa janaka tva ISvara icCA vizaya,B-C I-C I-C I-C I-C I-C,"0,2 T6|0,5 T6|0,6 T6|3,5 T6",<<<boDa-janaka>Tatpurusha-tva-<ISvara-icCA>Tatpurusha>Tatpurusha-vizaya>Tatpurusha,"0,2 Tatpurusha|0,5 Tatpurusha|0,6 Tatpurusha|3,5 Tatpurusha"
2929,<<aneka-rasa>K1-samutpannam>T3 <aneka-rasaM>K1 <<kawuka-lavaRa>Di-BUyizWam>Bs7 <<<aneka-indriya>K1-arTa>T6-samanvitaM>T3 <karaRa-aBinirvfttam>T3,aneka rasa samutpannam aneka rasaM kawuka lavaRa BUyizWam aneka indriya arTa samanvitaM karaRa aBinirvfttam,B-C I-C I-C B-C I-C B-C I-C I-C B-C I-C I-C I-C B-C I-C,"0,2 K1|0,3 T3|3,5 K1|5,7 Di|5,8 Bs7|8,10 K1|8,11 T6|8,12 T3|12,14 T3",<<aneka-rasa>Tatpurusha-samutpannam>Tatpurusha <aneka-rasaM>Tatpurusha <<kawuka-lavaRa>Dvandva-BUyizWam>Bahuvrihi <<<aneka-indriya>Tatpurusha-arTa>Tatpurusha-samanvitaM>Tatpurusha <karaRa-aBinirvfttam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|5,7 Dvandva|5,8 Bahuvrihi|8,10 Tatpurusha|8,11 Tatpurusha|8,12 Tatpurusha|12,14 Tatpurusha"
2930,<<kroDa-uttolita>T5-netra>K1 <mahat-fze>K1,kroDa uttolita netra mahat fze,B-C I-C I-C B-C I-C,"0,2 T5|0,3 K1|3,5 K1",<<kroDa-uttolita>Tatpurusha-netra>Tatpurusha <mahat-fze>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
2931,<<sarva-jYAn>K1-vimUQAn>T7 <na-cetasaH>Bs6,sarva jYAn vimUQAn na cetasaH,B-C I-C I-C B-C I-C,"0,2 K1|0,3 T7|3,5 Bs6",<<sarva-jYAn>Tatpurusha-vimUQAn>Tatpurusha <na-cetasaH>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Bahuvrihi"
2932,<<vacas-veSa>T6-vinyAsena>T6 <Badra-varga>K1,vacas veSa vinyAsena Badra varga,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 K1",<<vacas-veSa>Tatpurusha-vinyAsena>Tatpurusha <Badra-varga>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
2933,<puruza-pramARA>T6 <sAndra-<svarRa-GawitA>T3>K1,puruza pramARA sAndra svarRa GawitA,B-C I-C B-C I-C I-C,"0,2 T6|2,5 K1|3,5 T3",<puruza-pramARA>Tatpurusha <sAndra-<svarRa-GawitA>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|2,5 Tatpurusha|3,5 Tatpurusha"
2934,<<na-mAnitva>Tn-AdayaH>Bs6,na mAnitva AdayaH,B-C I-C I-C,"0,2 Tn|0,3 Bs6",<<na-mAnitva>Tatpurusha-AdayaH>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
2935,<strI-<sva-BAvAt>T6>T6 <na-sahA>Tn,strI sva BAvAt na sahA,B-C I-C I-C B-C I-C,"0,3 T6|1,3 T6|3,5 Tn",<strI-<sva-BAvAt>Tatpurusha>Tatpurusha <na-sahA>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha"
2936,<BUri-pariSrameRa>K1 <ekaM-<dvAdaSa-SfNgaM>Km>Bs6,BUri pariSrameRa ekaM dvAdaSa SfNgaM,B-C I-C B-C I-C I-C,"0,2 K1|2,5 Bs6|3,5 Km",<BUri-pariSrameRa>Tatpurusha <ekaM-<dvAdaSa-SfNgaM>Tatpurusha>Bahuvrihi,"0,2 Tatpurusha|2,5 Bahuvrihi|3,5 Tatpurusha"
2937,<bala-varRa-suKa-AyuzAm>Di,bala varRa suKa AyuzAm,B-C I-C I-C I-C,"0,4 Di",<bala-varRa-suKa-AyuzAm>Dvandva,"0,4 Dvandva"
2938,<sva-BAvAt>T6 <<<guRa-samudaya>T6-avApti>T3-vizayAm>Bs6,sva BAvAt guRa samudaya avApti vizayAm,B-C I-C B-C I-C I-C I-C,"0,2 T6|2,4 T6|2,5 T3|2,6 Bs6",<sva-BAvAt>Tatpurusha <<<guRa-samudaya>Tatpurusha-avApti>Tatpurusha-vizayAm>Bahuvrihi,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|2,6 Bahuvrihi"
2939,<<rOkzya-glAni-vicAra-vESadya-lAGava>Di-karARi>U,rOkzya glAni vicAra vESadya lAGava karARi,B-C I-C I-C I-C I-C I-C,"0,5 Di|0,6 U",<<rOkzya-glAni-vicAra-vESadya-lAGava>Dvandva-karARi>Tatpurusha,"0,5 Dvandva|0,6 Tatpurusha"
2940,<Slezma-aDikaH>Bs7 <<a-mala>Tn-BAskare>K1,Slezma aDikaH a mala BAskare,B-C I-C B-C I-C I-C,"0,2 Bs7|2,4 Tn|2,5 K1",<Slezma-aDikaH>Bahuvrihi <<a-mala>Tatpurusha-BAskare>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha"
2941,<<samAsa-Sakti>T7-svIkAre>T6,samAsa Sakti svIkAre,B-C I-C I-C,"0,2 T7|0,3 T6",<<samAsa-Sakti>Tatpurusha-svIkAre>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
2942,<<<pAka-anukUla>T6-kfti>K1-prakArakaH>Bs6,pAka anukUla kfti prakArakaH,B-C I-C I-C I-C,"0,2 T6|0,3 K1|0,4 Bs6",<<<pAka-anukUla>Tatpurusha-kfti>Tatpurusha-prakArakaH>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Bahuvrihi"
2943,<vAkya-arTaH>T6 <<<mImAMsA-vArtika>T6-kAra>U-miSrAH>K1 <tad-anuyAyinaH>T6 <nivftta-vyApArARi>Bs6,vAkya arTaH mImAMsA vArtika kAra miSrAH tad anuyAyinaH nivftta vyApArARi,B-C I-C B-C I-C I-C I-C B-C I-C B-C I-C,"0,2 T6|2,4 T6|2,5 U|2,6 K1|6,8 T6|8,10 Bs6",<vAkya-arTaH>Tatpurusha <<<mImAMsA-vArtika>Tatpurusha-kAra>Tatpurusha-miSrAH>Tatpurusha <tad-anuyAyinaH>Tatpurusha <nivftta-vyApArARi>Bahuvrihi,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|2,6 Tatpurusha|6,8 Tatpurusha|8,10 Bahuvrihi"
2944,<<<ekA-<agra-aguli>K1>K1-DArita>T3-<unnata-muKaH>K1>Bs6,ekA agra aguli DArita unnata muKaH,B-C I-C I-C I-C I-C I-C,"0,3 K1|0,4 T3|0,6 Bs6|1,3 K1|4,6 K1",<<<ekA-<agra-aguli>Tatpurusha>Tatpurusha-DArita>Tatpurusha-<unnata-muKaH>Tatpurusha>Bahuvrihi,"0,3 Tatpurusha|0,4 Tatpurusha|0,6 Bahuvrihi|1,3 Tatpurusha|4,6 Tatpurusha"
2945,<<maTya-manTana-manTAna>Di-saMyogAt>T6 <agni-saMBavaH>T6,maTya manTana manTAna saMyogAt agni saMBavaH,B-C I-C I-C I-C B-C I-C,"0,3 Di|0,4 T6|4,6 T6",<<maTya-manTana-manTAna>Dvandva-saMyogAt>Tatpurusha <agni-saMBavaH>Tatpurusha,"0,3 Dvandva|0,4 Tatpurusha|4,6 Tatpurusha"
2946,<aSvameDa-AdInAm>Bs6 <<saMnyAsa-Sabda>K7-arTam>T6,aSvameDa AdInAm saMnyAsa Sabda arTam,B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 K7|2,5 T6",<aSvameDa-AdInAm>Bahuvrihi <<saMnyAsa-Sabda>Tatpurusha-arTam>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha"
2947,<viSizwa-budDyA>T6 <aBeda-saMbanDe>K7 <<dvi-nizWa>Bv-tva-aBAvena>T6 <<saMbanDa-lakzaRa>T6-tva-<na-yogAt>Tn>T6,viSizwa budDyA aBeda saMbanDe dvi nizWa tva aBAvena saMbanDa lakzaRa tva na yogAt,B-C I-C B-C I-C B-C I-C I-C I-C B-C I-C I-C I-C I-C,"0,2 T6|2,4 K7|4,6 Bv|4,8 T6|8,10 T6|8,13 T6|11,13 Tn",<viSizwa-budDyA>Tatpurusha <aBeda-saMbanDe>Tatpurusha <<dvi-nizWa>Bahuvrihi-tva-aBAvena>Tatpurusha <<saMbanDa-lakzaRa>Tatpurusha-tva-<na-yogAt>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|4,6 Bahuvrihi|4,8 Tatpurusha|8,10 Tatpurusha|8,13 Tatpurusha|11,13 Tatpurusha"
2948,<an-ati-kramaRIyaH>Tn,an ati kramaRIyaH,B-C I-C I-C,"0,3 Tn",<an-ati-kramaRIyaH>Tatpurusha,"0,3 Tatpurusha"
2949,<<<vAta-hara>T6-aByakta>T3-gAtraM>Bs6 <vastra-avacCannaM>T3,vAta hara aByakta gAtraM vastra avacCannaM,B-C I-C I-C I-C B-C I-C,"0,2 T6|0,3 T3|0,4 Bs6|4,6 T3",<<<vAta-hara>Tatpurusha-aByakta>Tatpurusha-gAtraM>Bahuvrihi <vastra-avacCannaM>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Bahuvrihi|4,6 Tatpurusha"
2950,<bahutara-agrahilam>k1 <<sa-SiSu>BvS-janam>K7,bahutara agrahilam sa SiSu janam,B-C I-C B-C I-C I-C,"0,2 k1|2,4 BvS|2,5 K7",<bahutara-agrahilam>Tatpurusha <<sa-SiSu>Bahuvrihi-janam>Tatpurusha,"0,2 Tatpurusha|2,4 Bahuvrihi|2,5 Tatpurusha"
2951,<iti-Adikam>Bs6 <<nirukta-anuSAsana>K1-udAharaRa>T6 <kriyA-viSezaRAnAm>T6 <napuMsaka-liNga>K1 <iti-AdO>Bs6,iti Adikam nirukta anuSAsana udAharaRa kriyA viSezaRAnAm napuMsaka liNga iti AdO,B-C I-C B-C I-C I-C B-C I-C B-C I-C B-C I-C,"0,2 Bs6|2,4 K1|2,5 T6|5,7 T6|7,9 K1|9,11 Bs6",<iti-Adikam>Bahuvrihi <<nirukta-anuSAsana>Tatpurusha-udAharaRa>Tatpurusha <kriyA-viSezaRAnAm>Tatpurusha <napuMsaka-liNga>Tatpurusha <iti-AdO>Bahuvrihi,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha|7,9 Tatpurusha|9,11 Bahuvrihi"
2952,<<AMgla-aBinetrI>K1-sulaBAni>T4,AMgla aBinetrI sulaBAni,B-C I-C I-C,"0,2 K1|0,3 T4",<<AMgla-aBinetrI>Tatpurusha-sulaBAni>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
