,Raw_Tagged,Clean,Bio_tagged,Span_Tagged,Coarse_tag,Coarse_Span_Tagged
238,<<meGa-agni-maDu-piNga>Di-ABAH>Bsu,meGa agni maDu piNga ABAH,B-C I-C I-C I-C I-C,"0,4 Di|0,5 Bsu",<<meGa-agni-maDu-piNga>Dvandva-ABAH>Bahuvrihi,"0,4 Dvandva|0,5 Bahuvrihi"
239,<svara-bIjAnAm>Di <<sva-nAma>T6-antEH>T6 <yaTA-kramam>A1,svara bIjAnAm sva nAma antEH yaTA kramam,B-C I-C B-C I-C I-C B-C I-C,"0,2 Di|2,4 T6|2,5 T6|5,7 A1",<svara-bIjAnAm>Dvandva <<sva-nAma>Tatpurusha-antEH>Tatpurusha <yaTA-kramam>Avyayibhava,"0,2 Dvandva|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Avyayibhava"
240,<<viBakta-<nAman-varRa>T6>K1-<anta-sTitAni>U>T6,viBakta nAman varRa anta sTitAni,B-C I-C I-C I-C I-C,"0,3 K1|0,5 T6|1,3 T6|3,5 U",<<viBakta-<nAman-varRa>Tatpurusha>Tatpurusha-<anta-sTitAni>Tatpurusha>Tatpurusha,"0,3 Tatpurusha|0,5 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha"
241,<sa-<aNga-upANgam>Ds>BvS,sa aNga upANgam,B-C I-C I-C,"0,3 BvS|1,3 Ds",<sa-<aNga-upANgam>Dvandva>Bahuvrihi,"0,3 Bahuvrihi|1,3 Dvandva"
242,<<hfdaya-Adi>Bs6-praklfptaye>T6,hfdaya Adi praklfptaye,B-C I-C I-C,"0,2 Bs6|0,3 T6",<<hfdaya-Adi>Bahuvrihi-praklfptaye>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha"
243,<sva-bIjena>T6 <<sva-nAma>T6-antEH>T6 <aNga-nAmaBiH>T6,sva bIjena sva nAma antEH aNga nAmaBiH,B-C I-C B-C I-C I-C B-C I-C,"0,2 T6|2,4 T6|2,5 T6|5,7 T6",<sva-bIjena>Tatpurusha <<sva-nAma>Tatpurusha-antEH>Tatpurusha <aNga-nAmaBiH>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha"
244,<hfdaya-AdIni>Bs6 <dvAdaSan-anta-Adi>Bb,hfdaya AdIni dvAdaSan anta Adi,B-C I-C B-C I-C I-C,"0,2 Bs6|2,5 Bb",<hfdaya-AdIni>Bahuvrihi <dvAdaSan-anta-Adi>Bahuvrihi,"0,2 Bahuvrihi|2,5 Bahuvrihi"
245,<pfzWa-bAhu-Uru-jAnUn>Di,pfzWa bAhu Uru jAnUn,B-C I-C I-C I-C,"0,4 Di",<pfzWa-bAhu-Uru-jAnUn>Dvandva,"0,4 Dvandva"
246,<nir-<bIja-pada-mantrARAm>Di>Bsp,nir bIja pada mantrARAm,B-C I-C I-C I-C,"0,4 Bsp|1,4 Di",<nir-<bIja-pada-mantrARAm>Dvandva>Bahuvrihi,"0,4 Bahuvrihi|1,4 Dvandva"
247,<<parAstra-Adi>Bs6-<sva-nAman-AtmA>Bb>K1 <caturTI-antaH>Bs6 <namas-antakaH>Bs6,parAstra Adi sva nAman AtmA caturTI antaH namas antakaH,B-C I-C I-C I-C I-C B-C I-C B-C I-C,"0,2 Bs6|0,5 K1|2,5 Bb|5,7 Bs6|7,9 Bs6",<<parAstra-Adi>Bahuvrihi-<sva-nAman-AtmA>Bahuvrihi>Tatpurusha <caturTI-antaH>Bahuvrihi <namas-antakaH>Bahuvrihi,"0,2 Bahuvrihi|0,5 Tatpurusha|2,5 Bahuvrihi|5,7 Bahuvrihi|7,9 Bahuvrihi"
248,<<<eka-vyUha>Km-Adi>Bs6-<<zaqviMSa-vyUha>Km-antaH>Bs6>K1,eka vyUha Adi zaqviMSa vyUha antaH,B-C I-C I-C I-C I-C I-C,"0,2 Km|0,3 Bs6|0,6 K1|3,5 Km|3,6 Bs6",<<<eka-vyUha>Tatpurusha-Adi>Bahuvrihi-<<zaqviMSa-vyUha>Tatpurusha-antaH>Bahuvrihi>Tatpurusha,"0,2 Tatpurusha|0,3 Bahuvrihi|0,6 Tatpurusha|3,5 Tatpurusha|3,6 Bahuvrihi"
249,<<kanizWa-Adi>K1-<kara-agrezu>T6>Di,kanizWa Adi kara agrezu,B-C I-C I-C I-C,"0,2 K1|0,4 Di|2,4 T6",<<kanizWa-Adi>Tatpurusha-<kara-agrezu>Tatpurusha>Dvandva,"0,2 Tatpurusha|0,4 Dvandva|2,4 Tatpurusha"
250,<vAyu-arkkO>Di <kara-SAKAsu>T6 <<savya-itara>Di-<kara-dvaye>T6>K1,vAyu arkkO kara SAKAsu savya itara kara dvaye,B-C I-C B-C I-C B-C I-C I-C I-C,"0,2 Di|2,4 T6|4,6 Di|4,8 K1|6,8 T6",<vAyu-arkkO>Dvandva <kara-SAKAsu>Tatpurusha <<savya-itara>Dvandva-<kara-dvaye>Tatpurusha>Tatpurusha,"0,2 Dvandva|2,4 Tatpurusha|4,6 Dvandva|4,8 Tatpurusha|6,8 Tatpurusha"
251,<tala-dvaye>T6 <aTarvan-rUpam>Bs6 <<Siras-hat-caraRa>Ds-antakaH>Bs6,tala dvaye aTarvan rUpam Siras hat caraRa antakaH,B-C I-C B-C I-C B-C I-C I-C I-C,"0,2 T6|2,4 Bs6|4,7 Ds|4,8 Bs6",<tala-dvaye>Tatpurusha <aTarvan-rUpam>Bahuvrihi <<Siras-hat-caraRa>Dvandva-antakaH>Bahuvrihi,"0,2 Tatpurusha|2,4 Bahuvrihi|4,7 Dvandva|4,8 Bahuvrihi"
252,<vAyu-Adi>Bs6 <Siras-hft-guhya-pAdake>Ds,vAyu Adi Siras hft guhya pAdake,B-C I-C B-C I-C I-C I-C,"0,2 Bs6|2,6 Ds",<vAyu-Adi>Bahuvrihi <Siras-hft-guhya-pAdake>Dvandva,"0,2 Bahuvrihi|2,6 Dvandva"
253,<mUrdDA-Asya-hft-guhya-patsu>Di <karuRA-AtmankaH>Bs6,mUrdDA Asya hft guhya patsu karuRA AtmankaH,B-C I-C I-C I-C I-C B-C I-C,"0,5 Di|5,7 Bs6",<mUrdDA-Asya-hft-guhya-patsu>Dvandva <karuRA-AtmankaH>Bahuvrihi,"0,5 Dvandva|5,7 Bahuvrihi"
254,<<aNguzWa-Adi>K6-krameRa>T6,aNguzWa Adi krameRa,B-C I-C I-C,"0,2 K6|0,3 T6",<<aNguzWa-Adi>Tatpurusha-krameRa>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
255,<Siras-lalAwa-Asya-hft-guhya-aNGrizu>Di,Siras lalAwa Asya hft guhya aNGrizu,B-C I-C I-C I-C I-C I-C,"0,6 Di",<Siras-lalAwa-Asya-hft-guhya-aNGrizu>Dvandva,"0,6 Dvandva"
256,<sparSa-rUpa-rasAH>Di,sparSa rUpa rasAH,B-C I-C I-C,"0,3 Di",<sparSa-rUpa-rasAH>Dvandva,"0,3 Dvandva"
257,<<tarjanI-Adi>K6-kramAt>T6 <vAma-pradeSinIm>Km,tarjanI Adi kramAt vAma pradeSinIm,B-C I-C I-C B-C I-C,"0,2 K6|0,3 T6|3,5 Km",<<tarjanI-Adi>Tatpurusha-kramAt>Tatpurusha <vAma-pradeSinIm>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
258,<Siras-lalAwa-Asya-hft-nABi-guhya-jAnuzu>Di,Siras lalAwa Asya hft nABi guhya jAnuzu,B-C I-C I-C I-C I-C I-C I-C,"0,7 Di",<Siras-lalAwa-Asya-hft-nABi-guhya-jAnuzu>Dvandva,"0,7 Dvandva"
259,<Siras-lalAwa-vaktrezu>Di <hft-nABi-guhya-jAnuzu>Di,Siras lalAwa vaktrezu hft nABi guhya jAnuzu,B-C I-C I-C B-C I-C I-C I-C,"0,3 Di|3,7 Di",<Siras-lalAwa-vaktrezu>Dvandva <hft-nABi-guhya-jAnuzu>Dvandva,"0,3 Dvandva|3,7 Dvandva"
260,<vAk-pARi-aNGriH>Ds,vAk pARi aNGriH,B-C I-C I-C,"0,3 Ds",<vAk-pARi-aNGriH>Dvandva,"0,3 Dvandva"
261,<<tarjanI-Adi>K6-kramAt>T6 <tala-dvaye>T6,tarjanI Adi kramAt tala dvaye,B-C I-C I-C B-C I-C,"0,2 K6|0,3 T6|3,5 T6",<<tarjanI-Adi>Tatpurusha-kramAt>Tatpurusha <tala-dvaye>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
262,<uttamANga-lalAwa-Asya-hft-nABO>Ds,uttamANga lalAwa Asya hft nABO,B-C I-C I-C I-C I-C,"0,5 Ds",<uttamANga-lalAwa-Asya-hft-nABO>Dvandva,"0,5 Dvandva"
263,<SiKara-kawyAm>Ds <<jAnu-pAda>Ds-Adizu>Bs6,SiKara kawyAm jAnu pAda Adizu,B-C I-C B-C I-C I-C,"0,2 Ds|2,4 Ds|2,5 Bs6",<SiKara-kawyAm>Dvandva <<jAnu-pAda>Dvandva-Adizu>Bahuvrihi,"0,2 Dvandva|2,4 Dvandva|2,5 Bahuvrihi"
264,<vAk-pARi-aNGriH>Ds,vAk pARi aNGriH,B-C I-C I-C,"0,3 Ds",<vAk-pARi-aNGriH>Dvandva,"0,3 Dvandva"
265,<muKa-hft-nABi-guhya-Uru-jAnu-aNGrO>Ds <karaRa-udgatO>T5,muKa hft nABi guhya Uru jAnu aNGrO karaRa udgatO,B-C I-C I-C I-C I-C I-C I-C B-C I-C,"0,7 Ds|7,9 T5",<muKa-hft-nABi-guhya-Uru-jAnu-aNGrO>Dvandva <karaRa-udgatO>Tatpurusha,"0,7 Dvandva|7,9 Tatpurusha"
266,<pUrva-yAmya-Apya-sOmyezu>Di <hfdaya-AdIni>Bs6,pUrva yAmya Apya sOmyezu hfdaya AdIni,B-C I-C I-C I-C B-C I-C,"0,4 Di|4,6 Bs6",<pUrva-yAmya-Apya-sOmyezu>Dvandva <hfdaya-AdIni>Bahuvrihi,"0,4 Dvandva|4,6 Bahuvrihi"
267,<<agni-Adi>Bs6-koRezu>K1 <vEnateya-Adi>Bs6,agni Adi koRezu vEnateya Adi,B-C I-C I-C B-C I-C,"0,2 Bs6|0,3 K1|3,5 Bs6",<<agni-Adi>Bahuvrihi-koRezu>Tatpurusha <vEnateya-Adi>Bahuvrihi,"0,2 Bahuvrihi|0,3 Tatpurusha|3,5 Bahuvrihi"
268,<<<<pUrva-Adi>Bs6-dik>K1-bala>T6-AvAsaH>T7 <rAjya-AdiBiH>Bs6,pUrva Adi dik bala AvAsaH rAjya AdiBiH,B-C I-C I-C I-C I-C B-C I-C,"0,2 Bs6|0,3 K1|0,4 T6|0,5 T7|5,7 Bs6",<<<<pUrva-Adi>Bahuvrihi-dik>Tatpurusha-bala>Tatpurusha-AvAsaH>Tatpurusha <rAjya-AdiBiH>Bahuvrihi,"0,2 Bahuvrihi|0,3 Tatpurusha|0,4 Tatpurusha|0,5 Tatpurusha|5,7 Bahuvrihi"
269,<<mudrA-lakzaRa>T6-kaTanam>T6,mudrA lakzaRa kaTanam,B-C I-C I-C,"0,2 T6|0,3 T6",<<mudrA-lakzaRa>Tatpurusha-kaTanam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
270,<<sAnniDya-Adi>Bs6-prakArakam>K1,sAnniDya Adi prakArakam,B-C I-C I-C,"0,2 Bs6|0,3 K1",<<sAnniDya-Adi>Bahuvrihi-prakArakam>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha"
271,<UrdDva-aNguzWaH>Bs6 <vAma-muzwiH>Km <<dakziRa-aNguzWa>Km-banDanam>T6,UrdDva aNguzWaH vAma muzwiH dakziRa aNguzWa banDanam,B-C I-C B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 Km|4,6 Km|4,7 T6",<UrdDva-aNguzWaH>Bahuvrihi <vAma-muzwiH>Tatpurusha <<dakziRa-aNguzWa>Tatpurusha-banDanam>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha"
272,<<kanizWa-Adi>Bs6-vimokena>T6 <yaTA-kramam>A1,kanizWa Adi vimokena yaTA kramam,B-C I-C I-C B-C I-C,"0,2 Bs6|0,3 T6|3,5 A1",<<kanizWa-Adi>Bahuvrihi-vimokena>Tatpurusha <yaTA-kramam>Avyayibhava,"0,2 Bahuvrihi|0,3 Tatpurusha|3,5 Avyayibhava"
273,<<dIkzA-viDi>T6-kaTanam>T6,dIkzA viDi kaTanam,B-C I-C I-C,"0,2 T6|0,3 T6",<<dIkzA-viDi>Tatpurusha-kaTanam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
274,<na-<cCinna-DArayA>K1>Tn <ISAna-antam>T6,na cCinna DArayA ISAna antam,B-C I-C I-C B-C I-C,"0,3 Tn|1,3 K1|3,5 T6",<na-<cCinna-DArayA>Tatpurusha>Tatpurusha <ISAna-antam>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha|3,5 Tatpurusha"
275,<sa-vastram>BvS <<paYcan-ratna>Km-AQyam>T3,sa vastram paYcan ratna AQyam,B-C I-C B-C I-C I-C,"0,2 BvS|2,4 Km|2,5 T3",<sa-vastram>Bahuvrihi <<paYcan-ratna>Tatpurusha-AQyam>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha"
276,<<kzIra-vfkza>Km-jam>U,kzIra vfkza jam,B-C I-C I-C,"0,2 Km|0,3 U",<<kzIra-vfkza>Tatpurusha-jam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
277,<Endra-agni-uttaraka-ISAnI>Ds,Endra agni uttaraka ISAnI,B-C I-C I-C I-C,"0,4 Ds",<Endra-agni-uttaraka-ISAnI>Dvandva,"0,4 Dvandva"
278,<<saMsAra-arRava>K6-magnAnAm>T7 <pASa-muktaye>T6,saMsAra arRava magnAnAm pASa muktaye,B-C I-C I-C B-C I-C,"0,2 K6|0,3 T7|3,5 T6",<<saMsAra-arRava>Tatpurusha-magnAnAm>Tatpurusha <pASa-muktaye>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
279,<<puzpa-pUrRa>T3-aYjalIn>K1,puzpa pUrRa aYjalIn,B-C I-C I-C,"0,2 T3|0,3 K1",<<puzpa-pUrRa>Tatpurusha-aYjalIn>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
280,<<SiKA-anta>T6-sammitam>T3 <<pAda-aNguzWa>T6-Adi>Bs6 <zaw-guRam>K1,SiKA anta sammitam pAda aNguzWa Adi zaw guRam,B-C I-C I-C B-C I-C I-C B-C I-C,"0,2 T6|0,3 T3|3,5 T6|3,6 Bs6|6,8 K1",<<SiKA-anta>Tatpurusha-sammitam>Tatpurusha <<pAda-aNguzWa>Tatpurusha-Adi>Bahuvrihi <zaw-guRam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|3,6 Bahuvrihi|6,8 Tatpurusha"
281,<<tri-guRa>K-mi-kftam>Tg,tri guRa mi kftam,B-C I-C I-C I-C,"0,2 K|0,4 Tg",<<tri-guRa>Tatpurusha-mi-kftam>Tatpurusha,"0,2 Tatpurusha|0,4 Tatpurusha"
282,<<paYcan-tanmAtra>Km-budDi-AKyam>Bb <karmma-AKyam>Bs6 <BUta-paYcakam>T6,paYcan tanmAtra budDi AKyam karmma AKyam BUta paYcakam,B-C I-C I-C I-C B-C I-C B-C I-C,"0,2 Km|0,4 Bb|4,6 Bs6|6,8 T6",<<paYcan-tanmAtra>Tatpurusha-budDi-AKyam>Bahuvrihi <karmma-AKyam>Bahuvrihi <BUta-paYcakam>Tatpurusha,"0,2 Tatpurusha|0,4 Bahuvrihi|4,6 Bahuvrihi|6,8 Tatpurusha"
283,<vitAna-Gawa-laqqukEH>Di,vitAna Gawa laqqukEH,B-C I-C I-C,"0,3 Di",<vitAna-Gawa-laqqukEH>Dvandva,"0,3 Dvandva"
284,<<badDa-padmAsana>K1-sTitAn>T7,badDa padmAsana sTitAn,B-C I-C I-C,"0,2 K1|0,3 T7",<<badDa-padmAsana>Tatpurusha-sTitAn>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
285,<<prakfti-Adi>K6-<vikfti-antAm>K6>Bs6 <sa-<aDiBUta-aDidEvatAm>Di>BvS,prakfti Adi vikfti antAm sa aDiBUta aDidEvatAm,B-C I-C I-C I-C B-C I-C I-C,"0,2 K6|0,4 Bs6|2,4 K6|4,7 BvS|5,7 Di",<<prakfti-Adi>Tatpurusha-<vikfti-antAm>Tatpurusha>Bahuvrihi <sa-<aDiBUta-aDidEvatAm>Dvandva>Bahuvrihi,"0,2 Tatpurusha|0,4 Bahuvrihi|2,4 Tatpurusha|4,7 Bahuvrihi|5,7 Dvandva"
286,<<viyoga-pada>T6-saMyuktEH>T3 <pAda-AdiBiH>Bs6,viyoga pada saMyuktEH pAda AdiBiH,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T3|3,5 Bs6",<<viyoga-pada>Tatpurusha-saMyuktEH>Tatpurusha <pAda-AdiBiH>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Bahuvrihi"
287,<sva-bIjena>T6 <<tAqana-Adi>Bs6-puraHsaram>T3 <karmma-indriyARi>T6,sva bIjena tAqana Adi puraHsaram karmma indriyARi,B-C I-C B-C I-C I-C B-C I-C,"0,2 T6|2,4 Bs6|2,5 T3|5,7 T6",<sva-bIjena>Tatpurusha <<tAqana-Adi>Bahuvrihi-puraHsaram>Tatpurusha <karmma-indriyARi>Tatpurusha,"0,2 Tatpurusha|2,4 Bahuvrihi|2,5 Tatpurusha|5,7 Tatpurusha"
288,<budDi-indriyARi>T6 <<tAqana-Adi>Bs6-prayogakam>T6,budDi indriyARi tAqana Adi prayogakam,B-C I-C B-C I-C I-C,"0,2 T6|2,4 Bs6|2,5 T6",<budDi-indriyARi>Tatpurusha <<tAqana-Adi>Bahuvrihi-prayogakam>Tatpurusha,"0,2 Tatpurusha|2,4 Bahuvrihi|2,5 Tatpurusha"
289,<<navan-vyUha>Km-Adike>Bs6,navan vyUha Adike,B-C I-C I-C,"0,2 Km|0,3 Bs6",<<navan-vyUha>Tatpurusha-Adike>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
290,<budDi-AKyAni>Bs6 <tanmAtra-manas-jYAnam>Di,budDi AKyAni tanmAtra manas jYAnam,B-C I-C B-C I-C I-C,"0,2 Bs6|2,5 Di",<budDi-AKyAni>Bahuvrihi <tanmAtra-manas-jYAnam>Dvandva,"0,2 Bahuvrihi|2,5 Dvandva"
291,<<sarva-sidDi>K1-samanvitam>T3,sarva sidDi samanvitam,B-C I-C I-C,"0,2 K1|0,3 T3",<<sarva-sidDi>Tatpurusha-samanvitam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
292,<<sarva-upakaraRa>K1-anvitam>T3,sarva upakaraRa anvitam,B-C I-C I-C,"0,2 K1|0,3 T3",<<sarva-upakaraRa>Tatpurusha-anvitam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
293,<<saMhAra-krama>T6-yogataH>T6,saMhAra krama yogataH,B-C I-C I-C,"0,2 T6|0,3 T6",<<saMhAra-krama>Tatpurusha-yogataH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
294,<SarIra-pAtam>T6 <<na-vyakta>Tn-liNga>K1,SarIra pAtam na vyakta liNga,B-C I-C B-C I-C I-C,"0,2 T6|2,4 Tn|2,5 K1",<SarIra-pAtam>Tatpurusha <<na-vyakta>Tatpurusha-liNga>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
295,<mahat-purARe>K1 <<sarva-dIkzA>T6-kaTanam>T6,mahat purARe sarva dIkzA kaTanam,B-C I-C B-C I-C I-C,"0,2 K1|2,4 T6|2,5 T6",<mahat-purARe>Tatpurusha <<sarva-dIkzA>Tatpurusha-kaTanam>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
296,<mUrtti-kumBAn>T6 <su-<ratna-AQyaH>T3>Tg <<maDya-pUrva>Di-AditaH>Bs6,mUrtti kumBAn su ratna AQyaH maDya pUrva AditaH,B-C I-C B-C I-C I-C B-C I-C I-C,"0,2 T6|2,5 Tg|3,5 T3|5,7 Di|5,8 Bs6",<mUrtti-kumBAn>Tatpurusha <su-<ratna-AQyaH>Tatpurusha>Tatpurusha <<maDya-pUrva>Dvandva-AditaH>Bahuvrihi,"0,2 Tatpurusha|2,5 Tatpurusha|3,5 Tatpurusha|5,7 Dvandva|5,8 Bahuvrihi"
297,<<gIta-Adi>Bs6-pUrvakam>T3,gIta Adi pUrvakam,B-C I-C I-C,"0,2 Bs6|0,3 T3",<<gIta-Adi>Bahuvrihi-pUrvakam>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha"
298,<<yoga-pIWa>T6-AdIn>Bs6,yoga pIWa AdIn,B-C I-C I-C,"0,2 T6|0,3 Bs6",<<yoga-pIWa>Tatpurusha-AdIn>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
299,<<sarvatoBadra-maRqala>K7-kaTanam>T6,sarvatoBadra maRqala kaTanam,B-C I-C I-C,"0,2 K7|0,3 T6",<<sarvatoBadra-maRqala>Tatpurusha-kaTanam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
300,<<devatA-Ayatana>T6-Adike>Bs6,devatA Ayatana Adike,B-C I-C I-C,"0,2 T6|0,3 Bs6",<<devatA-Ayatana>Tatpurusha-Adike>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
301,<<catur-asra>K-mi-kfte>Tg <maRqala-AdIni>Bs6,catur asra mi kfte maRqala AdIni,B-C I-C I-C I-C B-C I-C,"0,2 K|0,4 Tg|4,6 Bs6",<<catur-asra>Tatpurusha-mi-kfte>Tatpurusha <maRqala-AdIni>Bahuvrihi,"0,2 Tatpurusha|0,4 Tatpurusha|4,6 Bahuvrihi"
302,<<rasa-bARa-akzi>Di-kozWezu>K1,rasa bARa akzi kozWezu,B-C I-C I-C I-C,"0,3 Di|0,4 K1",<<rasa-bARa-akzi>Dvandva-kozWezu>Tatpurusha,"0,3 Dvandva|0,4 Tatpurusha"
303,<<dala-sanDi>T6-antarAlam>T6,dala sanDi antarAlam,B-C I-C I-C,"0,2 T6|0,3 T6",<<dala-sanDi>Tatpurusha-antarAlam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
304,<<paYcan-patra>Km-aBisidDyarTam>T6 <ap-jakam>U,paYcan patra aBisidDyarTam ap jakam,B-C I-C I-C B-C I-C,"0,2 Km|0,3 T6|3,5 U",<<paYcan-patra>Tatpurusha-aBisidDyarTam>Tatpurusha <ap-jakam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
305,<<vyoman-reKA>T6-bahiH>T5,vyoman reKA bahiH,B-C I-C I-C,"0,2 T6|0,3 T5",<<vyoman-reKA>Tatpurusha-bahiH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
306,<<dvi-zawka>Bss-BAge>Km,dvi zawka BAge,B-C I-C I-C,"0,2 Bss|0,3 Km",<<dvi-zawka>Bahuvrihi-BAge>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha"
307,<<dvAra-SoBA>T6-Adi>Bs6,dvAra SoBA Adi,B-C I-C I-C,"0,2 T6|0,3 Bs6",<<dvAra-SoBA>Tatpurusha-Adi>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi"
308,<<<paYcan-<anta-svara>K1>Km-sidDi>T6-arTam>T4,paYcan anta svara sidDi arTam,B-C I-C I-C I-C I-C,"0,3 Km|0,4 T6|0,5 T4|1,3 K1",<<<paYcan-<anta-svara>Tatpurusha>Tatpurusha-sidDi>Tatpurusha-arTam>Tatpurusha,"0,3 Tatpurusha|0,4 Tatpurusha|0,5 Tatpurusha|1,3 Tatpurusha"
309,<<indIvara-dala>T6-AkArAn>T6,indIvara dala AkArAn,B-C I-C I-C,"0,2 T6|0,3 T6",<<indIvara-dala>Tatpurusha-AkArAn>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
310,<<padma-patra>T6-AyatAn>K4 <icCA-anurUpataH>T6,padma patra AyatAn icCA anurUpataH,B-C I-C I-C B-C I-C,"0,2 T6|0,3 K4|3,5 T6",<<padma-patra>Tatpurusha-AyatAn>Tatpurusha <icCA-anurUpataH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
311,<<ara-sanDi>T6-antare>T6,ara sanDi antare,B-C I-C I-C,"0,2 T6|0,3 T6",<<ara-sanDi>Tatpurusha-antare>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
312,<<upadvAra-prasidDi>T6-arTam>T4,upadvAra prasidDi arTam,B-C I-C I-C,"0,2 T6|0,3 T4",<<upadvAra-prasidDi>Tatpurusha-arTam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
313,<vITI-padmAni>T6 <paNkti-<vITi-kajAni>T6>T6,vITI padmAni paNkti vITi kajAni,B-C I-C B-C I-C I-C,"0,2 T6|2,5 T6|3,5 T6",<vITI-padmAni>Tatpurusha <paNkti-<vITi-kajAni>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|2,5 Tatpurusha|3,5 Tatpurusha"
314,<Seza-<paNkti-trayeRa>T6>K1,Seza paNkti trayeRa,B-C I-C I-C,"0,3 K1|1,3 T6",<Seza-<paNkti-trayeRa>Tatpurusha>Tatpurusha,"0,3 Tatpurusha|1,3 Tatpurusha"
315,<dvAra-<SoBA-upaSoBAH>Di>T6,dvAra SoBA upaSoBAH,B-C I-C I-C,"0,3 T6|1,3 Di",<dvAra-<SoBA-upaSoBAH>Dvandva>Tatpurusha,"0,3 Tatpurusha|1,3 Dvandva"
316,<dvi-catuH>Bss <<zaw-dvAra>Km-sidDyE>T6 <catur-dikzu>Km,dvi catuH zaw dvAra sidDyE catur dikzu,B-C I-C B-C I-C I-C B-C I-C,"0,2 Bss|2,4 Km|2,5 T6|5,7 Km",<dvi-catuH>Bahuvrihi <<zaw-dvAra>Tatpurusha-sidDyE>Tatpurusha <catur-dikzu>Tatpurusha,"0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha"
317,<mahat-purARe>K1 <<maRqala-Adi>Bs6-lakzaRam>T6,mahat purARe maRqala Adi lakzaRam,B-C I-C B-C I-C I-C,"0,2 K1|2,4 Bs6|2,5 T6",<mahat-purARe>Tatpurusha <<maRqala-Adi>Bahuvrihi-lakzaRam>Tatpurusha,"0,2 Tatpurusha|2,4 Bahuvrihi|2,5 Tatpurusha"
318,<<vAsudeva-Adi>Bs6-mUrttIH>K1 <daSan-Atmakam>Bs6,vAsudeva Adi mUrttIH daSan Atmakam,B-C I-C I-C B-C I-C,"0,2 Bs6|0,3 K1|3,5 Bs6",<<vAsudeva-Adi>Bahuvrihi-mUrttIH>Tatpurusha <daSan-Atmakam>Bahuvrihi,"0,2 Bahuvrihi|0,3 Tatpurusha|3,5 Bahuvrihi"
319,<vAk-pARi-pAdam>Ds <dvAtriMSat-vArijezu>Km,vAk pARi pAdam dvAtriMSat vArijezu,B-C I-C I-C B-C I-C,"0,3 Ds|3,5 Km",<vAk-pARi-pAdam>Dvandva <dvAtriMSat-vArijezu>Tatpurusha,"0,3 Dvandva|3,5 Tatpurusha"
