,Raw_Tagged,Book,Clean,Bio_tagged,Span_Tagged,Coarse_Span_Tagged,Coarse_tag
270,"mudrARAm lakzaRam vakzye <<sAnniDya-Adi>Bs6-prakArakam>K1
",agnipurana,"mudrARAm lakzaRam vakzye sAnniDya Adi prakArakam
",O O O B-C I-C I-C,"3,5 Bs6|3,6 K1","3,5 Bahuvrihi|3,6 Tatpurusha","mudrARAm lakzaRam vakzye <<sAnniDya-Adi>Bahuvrihi-prakArakam>Tatpurusha
"
271,"<UrdDva-aNguzWaH>Bs6 <vAma-muzwiH>Km <<dakziRa-aNguzWa>Km-banDanam>T6
",agnipurana,"UrdDva aNguzWaH vAma muzwiH dakziRa aNguzWa banDanam
",B-C I-C B-C I-C B-C I-C I-C,"0,2 Bs6|2,4 Km|4,6 Km|4,7 T6","0,2 Bahuvrihi|2,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","<UrdDva-aNguzWaH>Bahuvrihi <vAma-muzwiH>Tatpurusha <<dakziRa-aNguzWa>Tatpurusha-banDanam>Tatpurusha
"
272,"<<kanizWa-Adi>Bs6-vimokena>T6 azwO mudrAH <yaTA-kramam>A1
",agnipurana,"kanizWa Adi vimokena azwO mudrAH yaTA kramam
",B-C I-C I-C O O B-C I-C,"0,2 Bs6|0,3 T6|5,7 A1","0,2 Bahuvrihi|0,3 Tatpurusha|5,7 Avyayibhava","<<kanizWa-Adi>Bahuvrihi-vimokena>Tatpurusha azwO mudrAH <yaTA-kramam>Avyayibhava
"
273,"<<dIkzA-viDi>T6-kaTanam>T6
",agnipurana,"dIkzA viDi kaTanam
",B-C I-C I-C,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<dIkzA-viDi>Tatpurusha-kaTanam>Tatpurusha
"
274,"<na-<cCinna-DArayA>K1>Tn siYcan <ISAna-antam>T6 nayet ca tam
",agnipurana,"na cCinna DArayA siYcan ISAna antam nayet ca tam
",B-C I-C I-C O B-C I-C O O O,"0,3 Tn|1,3 K1|4,6 T6","0,3 Tatpurusha|1,3 Tatpurusha|4,6 Tatpurusha","<na-<cCinna-DArayA>Tatpurusha>Tatpurusha siYcan <ISAna-antam>Tatpurusha nayet ca tam
"
275,"<sa-vastram>BvS <<paYcan-ratna>Km-AQyam>T3 sTaRqile pUjayet harim
",agnipurana,"sa vastram paYcan ratna AQyam sTaRqile pUjayet harim
",B-C I-C B-C I-C I-C O O O,"0,2 BvS|2,4 Km|2,5 T3","0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha","<sa-vastram>Bahuvrihi <<paYcan-ratna>Tatpurusha-AQyam>Tatpurusha sTaRqile pUjayet harim
"
276,"nArAyaRena sammantrya saptaDA <<kzIra-vfkza>Km-jam>U
",agnipurana,"nArAyaRena sammantrya saptaDA kzIra vfkza jam
",O O O B-C I-C I-C,"3,5 Km|3,6 U","3,5 Tatpurusha|3,6 Tatpurusha","nArAyaRena sammantrya saptaDA <<kzIra-vfkza>Tatpurusha-jam>Tatpurusha
"
277,"<Endra-agni-uttaraka-ISAnI>Ds muKam patitam uttamam
",agnipurana,"Endra agni uttaraka ISAnI muKam patitam uttamam
",B-C I-C I-C I-C O O O,"0,4 Ds","0,4 Dvandva","<Endra-agni-uttaraka-ISAnI>Dvandva muKam patitam uttamam
"
278,"<<saMsAra-arRava>K6-magnAnAm>T7 paSUnAm <pASa-muktaye>T6
",agnipurana,"saMsAra arRava magnAnAm paSUnAm pASa muktaye
",B-C I-C I-C O B-C I-C,"0,2 K6|0,3 T7|4,6 T6","0,2 Tatpurusha|0,3 Tatpurusha|4,6 Tatpurusha","<<saMsAra-arRava>Tatpurusha-magnAnAm>Tatpurusha paSUnAm <pASa-muktaye>Tatpurusha
"
279,"<<puzpa-pUrRa>T3-aYjalIn>K1 tatra kzipet tat nAma yojayet
",agnipurana,"puzpa pUrRa aYjalIn tatra kzipet tat nAma yojayet
",B-C I-C I-C O O O O O,"0,2 T3|0,3 K1","0,2 Tatpurusha|0,3 Tatpurusha","<<puzpa-pUrRa>Tatpurusha-aYjalIn>Tatpurusha tatra kzipet tat nAma yojayet
"
280,"<<SiKA-anta>T6-sammitam>T3 sUtram <<pAda-aNguzWa>T6-Adi>Bs6 <zaw-guRam>K1
",agnipurana,"SiKA anta sammitam sUtram pAda aNguzWa Adi zaw guRam
",B-C I-C I-C O B-C I-C I-C B-C I-C,"0,2 T6|0,3 T3|4,6 T6|4,7 Bs6|7,9 K1","0,2 Tatpurusha|0,3 Tatpurusha|4,6 Tatpurusha|4,7 Bahuvrihi|7,9 Tatpurusha","<<SiKA-anta>Tatpurusha-sammitam>Tatpurusha sUtram <<pAda-aNguzWa>Tatpurusha-Adi>Bahuvrihi <zaw-guRam>Tatpurusha
"
281,"kanyAsu karttitam raktam punaH tat <<tri-guRa>K-mi-kftam>Tg
",agnipurana,"kanyAsu karttitam raktam punaH tat tri guRa mi kftam
",O O O O O B-C I-C I-C I-C,"5,7 K|5,9 Tg","5,7 Tatpurusha|5,9 Tatpurusha","kanyAsu karttitam raktam punaH tat <<tri-guRa>Tatpurusha-mi-kftam>Tatpurusha
"
282,"<<paYcan-tanmAtra>Km-budDi-AKyam>Bb <karmma-AKyam>Bs6 <BUta-paYcakam>T6
",agnipurana,"paYcan tanmAtra budDi AKyam karmma AKyam BUta paYcakam
",B-C I-C I-C I-C B-C I-C B-C I-C,"0,2 Km|0,4 Bb|4,6 Bs6|6,8 T6","0,2 Tatpurusha|0,4 Bahuvrihi|4,6 Bahuvrihi|6,8 Tatpurusha","<<paYcan-tanmAtra>Tatpurusha-budDi-AKyam>Bahuvrihi <karmma-AKyam>Bahuvrihi <BUta-paYcakam>Tatpurusha
"
283,"maRqapam BUzayitvA aTa <vitAna-Gawa-laqqukEH>Di
",agnipurana,"maRqapam BUzayitvA aTa vitAna Gawa laqqukEH
",O O O B-C I-C I-C,"3,6 Di","3,6 Dvandva","maRqapam BUzayitvA aTa <vitAna-Gawa-laqqukEH>Dvandva
"
284,"AhUya dIkzayet SizyAn <<badDa-padmAsana>K1-sTitAn>T7
",agnipurana,"AhUya dIkzayet SizyAn badDa padmAsana sTitAn
",O O O B-C I-C I-C,"3,5 K1|3,6 T7","3,5 Tatpurusha|3,6 Tatpurusha","AhUya dIkzayet SizyAn <<badDa-padmAsana>Tatpurusha-sTitAn>Tatpurusha
"
285,"<<prakfti-Adi>K6-<vikfti-antAm>K6>Bs6 <sa-<aDiBUta-aDidEvatAm>Di>BvS
",agnipurana,"prakfti Adi vikfti antAm sa aDiBUta aDidEvatAm
",B-C I-C I-C I-C B-C I-C I-C,"0,2 K6|0,4 Bs6|2,4 K6|4,7 BvS|5,7 Di","0,2 Tatpurusha|0,4 Bahuvrihi|2,4 Tatpurusha|4,7 Bahuvrihi|5,7 Dvandva","<<prakfti-Adi>Tatpurusha-<vikfti-antAm>Tatpurusha>Bahuvrihi <sa-<aDiBUta-aDidEvatAm>Dvandva>Bahuvrihi
"
286,"<<viyoga-pada>T6-saMyuktEH>T3 bIjEH <pAda-AdiBiH>Bs6 kramAt
",agnipurana,"viyoga pada saMyuktEH bIjEH pAda AdiBiH kramAt
",B-C I-C I-C O B-C I-C O,"0,2 T6|0,3 T3|4,6 Bs6","0,2 Tatpurusha|0,3 Tatpurusha|4,6 Bahuvrihi","<<viyoga-pada>Tatpurusha-saMyuktEH>Tatpurusha bIjEH <pAda-AdiBiH>Bahuvrihi kramAt
"
287,"namaH antena <sva-bIjena>T6 <<tAqana-Adi>Bs6-puraHsaram>T3 om rAm <karmma-indriyARi>T6
",agnipurana,"namaH antena sva bIjena tAqana Adi puraHsaram om rAm karmma indriyARi
",O O B-C I-C B-C I-C I-C O O B-C I-C,"2,4 T6|4,6 Bs6|4,7 T3|9,11 T6","2,4 Tatpurusha|4,6 Bahuvrihi|4,7 Tatpurusha|9,11 Tatpurusha","namaH antena <sva-bIjena>Tatpurusha <<tAqana-Adi>Bahuvrihi-puraHsaram>Tatpurusha om rAm <karmma-indriyARi>Tatpurusha
"
288,"om dem <budDi-indriyARi>T6 yam bIjena samAnam tu <<tAqana-Adi>Bs6-prayogakam>T6
",agnipurana,"om dem budDi indriyARi yam bIjena samAnam tu tAqana Adi prayogakam
",O O B-C I-C O O O O B-C I-C I-C,"2,4 T6|8,10 Bs6|8,11 T6","2,4 Tatpurusha|8,10 Bahuvrihi|8,11 Tatpurusha","om dem <budDi-indriyARi>Tatpurusha yam bIjena samAnam tu <<tAqana-Adi>Bahuvrihi-prayogakam>Tatpurusha
"
289,"evam eva prayogaH tu <<navan-vyUha>Km-Adike>Bs6 smftaH
",agnipurana,"evam eva prayogaH tu navan vyUha Adike smftaH
",O O O O B-C I-C I-C O,"4,6 Km|4,7 Bs6","4,6 Tatpurusha|4,7 Bahuvrihi","evam eva prayogaH tu <<navan-vyUha>Tatpurusha-Adike>Bahuvrihi smftaH
"
290,"<budDi-AKyAni>Bs6 aTa <tanmAtra-manas-jYAnam>Di ahaNkftim
",agnipurana,"budDi AKyAni aTa tanmAtra manas jYAnam ahaNkftim
",B-C I-C O B-C I-C I-C O,"0,2 Bs6|3,6 Di","0,2 Bahuvrihi|3,6 Dvandva","<budDi-AKyAni>Bahuvrihi aTa <tanmAtra-manas-jYAnam>Dvandva ahaNkftim
"
291,"kramAt evam viSoDya ante <<sarva-sidDi>K1-samanvitam>T3
",agnipurana,"kramAt evam viSoDya ante sarva sidDi samanvitam
",O O O O B-C I-C I-C,"4,6 K1|4,7 T3","4,6 Tatpurusha|4,7 Tatpurusha","kramAt evam viSoDya ante <<sarva-sidDi>Tatpurusha-samanvitam>Tatpurusha
"
292,"izwvA devam yaTA pUrvam <<sarva-upakaraRa>K1-anvitam>T3
",agnipurana,"izwvA devam yaTA pUrvam sarva upakaraRa anvitam
",O O O O B-C I-C I-C,"4,6 K1|4,7 T3","4,6 Tatpurusha|4,7 Tatpurusha","izwvA devam yaTA pUrvam <<sarva-upakaraRa>Tatpurusha-anvitam>Tatpurusha
"
293,"homena SoDayet paScAt <<saMhAra-krama>T6-yogataH>T6
",agnipurana,"homena SoDayet paScAt saMhAra krama yogataH
",O O O B-C I-C I-C,"3,5 T6|3,6 T6","3,5 Tatpurusha|3,6 Tatpurusha","homena SoDayet paScAt <<saMhAra-krama>Tatpurusha-yogataH>Tatpurusha
"
294,"<SarIra-pAtam>T6 AkANkzan AsIta <<na-vyakta>Tn-liNga>K1 vAn
",agnipurana,"SarIra pAtam AkANkzan AsIta na vyakta liNga vAn
",B-C I-C O O B-C I-C I-C O,"0,2 T6|4,6 Tn|4,7 K1","0,2 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","<SarIra-pAtam>Tatpurusha AkANkzan AsIta <<na-vyakta>Tatpurusha-liNga>Tatpurusha vAn
"
295,"ityAdi <mahat-purARe>K1 Agneye <<sarva-dIkzA>T6-kaTanam>T6 nAma saptaviMSaH aDyAyaH
",agnipurana,"ityAdi mahat purARe Agneye sarva dIkzA kaTanam nAma saptaviMSaH aDyAyaH
",O B-C I-C O B-C I-C I-C O O O,"1,3 K1|4,6 T6|4,7 T6","1,3 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha","ityAdi <mahat-purARe>Tatpurusha Agneye <<sarva-dIkzA>Tatpurusha-kaTanam>Tatpurusha nAma saptaviMSaH aDyAyaH
"
296,"<mUrtti-kumBAn>T6 <su-<ratna-AQyaH>T3>Tg <<maDya-pUrva>Di-AditaH>Bs6 nyaset
",agnipurana,"mUrtti kumBAn su ratna AQyaH maDya pUrva AditaH nyaset
",B-C I-C B-C I-C I-C B-C I-C I-C O,"0,2 T6|2,5 Tg|3,5 T3|5,7 Di|5,8 Bs6","0,2 Tatpurusha|2,5 Tatpurusha|3,5 Tatpurusha|5,7 Dvandva|5,8 Bahuvrihi","<mUrtti-kumBAn>Tatpurusha <su-<ratna-AQyaH>Tatpurusha>Tatpurusha <<maDya-pUrva>Dvandva-AditaH>Bahuvrihi nyaset
"
297,"aBizekam samaByarccya kuryyAt <<gIta-Adi>Bs6-pUrvakam>T3
",agnipurana,"aBizekam samaByarccya kuryyAt gIta Adi pUrvakam
",O O O B-C I-C I-C,"3,5 Bs6|3,6 T3","3,5 Bahuvrihi|3,6 Tatpurusha","aBizekam samaByarccya kuryyAt <<gIta-Adi>Bahuvrihi-pUrvakam>Tatpurusha
"
298,"dadyAt ca <<yoga-pIWa>T6-AdIn>Bs6 tu anugrAhyAH tvayA narAH
",agnipurana,"dadyAt ca yoga pIWa AdIn tu anugrAhyAH tvayA narAH
",O O B-C I-C I-C O O O O,"2,4 T6|2,5 Bs6","2,4 Tatpurusha|2,5 Bahuvrihi","dadyAt ca <<yoga-pIWa>Tatpurusha-AdIn>Bahuvrihi tu anugrAhyAH tvayA narAH
"
299,"<<sarvatoBadra-maRqala>K7-kaTanam>T6
",agnipurana,"sarvatoBadra maRqala kaTanam
",B-C I-C I-C,"0,2 K7|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<sarvatoBadra-maRqala>Tatpurusha-kaTanam>Tatpurusha
"
300,"sADakaH sADayet mantram <<devatA-Ayatana>T6-Adike>Bs6
",agnipurana,"sADakaH sADayet mantram devatA Ayatana Adike
",O O O B-C I-C I-C,"3,5 T6|3,6 Bs6","3,5 Tatpurusha|3,6 Bahuvrihi","sADakaH sADayet mantram <<devatA-Ayatana>Tatpurusha-Adike>Bahuvrihi
"
301,"<<catur-asra>K-mi-kfte>Tg kzetre <maRqala-AdIni>Bs6 vE liKet
",agnipurana,"catur asra mi kfte kzetre maRqala AdIni vE liKet
",B-C I-C I-C I-C O B-C I-C O O,"0,2 K|0,4 Tg|5,7 Bs6","0,2 Tatpurusha|0,4 Tatpurusha|5,7 Bahuvrihi","<<catur-asra>Tatpurusha-mi-kfte>Tatpurusha kzetre <maRqala-AdIni>Bahuvrihi vE liKet
"
302,"<<rasa-bARa-akzi>Di-kozWezu>K1 sarvvatoBadram AliKet
",agnipurana,"rasa bARa akzi kozWezu sarvvatoBadram AliKet
",B-C I-C I-C I-C O O,"0,3 Di|0,4 K1","0,3 Dvandva|0,4 Tatpurusha","<<rasa-bARa-akzi>Dvandva-kozWezu>Tatpurusha sarvvatoBadram AliKet
"
303,"<<dala-sanDi>T6-antarAlam>T6 tu mAnam maDye niDAya tu
",agnipurana,"dala sanDi antarAlam tu mAnam maDye niDAya tu
",B-C I-C I-C O O O O O,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<dala-sanDi>Tatpurusha-antarAlam>Tatpurusha tu mAnam maDye niDAya tu
"
304,"<<paYcan-patra>Km-aBisidDyarTam>T6 matsyam kftvA evam <ap-jakam>U
",agnipurana,"paYcan patra aBisidDyarTam matsyam kftvA evam ap jakam
",B-C I-C I-C O O O B-C I-C,"0,2 Km|0,3 T6|6,8 U","0,2 Tatpurusha|0,3 Tatpurusha|6,8 Tatpurusha","<<paYcan-patra>Tatpurusha-aBisidDyarTam>Tatpurusha matsyam kftvA evam <ap-jakam>Tatpurusha
"
305,"<<vyoman-reKA>T6-bahiH>T5 pIWam tatra kozWAni mArjayet
",agnipurana,"vyoman reKA bahiH pIWam tatra kozWAni mArjayet
",B-C I-C I-C O O O O,"0,2 T6|0,3 T5","0,2 Tatpurusha|0,3 Tatpurusha","<<vyoman-reKA>Tatpurusha-bahiH>Tatpurusha pIWam tatra kozWAni mArjayet
"
306,"<<dvi-zawka>Bss-BAge>Km zawtriMSat padam padmam tu vITikA
",agnipurana,"dvi zawka BAge zawtriMSat padam padmam tu vITikA
",B-C I-C I-C O O O O O,"0,2 Bss|0,3 Km","0,2 Bahuvrihi|0,3 Tatpurusha","<<dvi-zawka>Bahuvrihi-BAge>Tatpurusha zawtriMSat padam padmam tu vITikA
"
307,"ekA paNktiH parAByAm tu <<dvAra-SoBA>T6-Adi>Bs6 pUrvavat
",agnipurana,"ekA paNktiH parAByAm tu dvAra SoBA Adi pUrvavat
",O O O O B-C I-C I-C O,"4,6 T6|4,7 Bs6","4,6 Tatpurusha|4,7 Bahuvrihi","ekA paNktiH parAByAm tu <<dvAra-SoBA>Tatpurusha-Adi>Bahuvrihi pUrvavat
"
308,"<<<paYcan-<anta-svara>K1>Km-sidDi>T6-arTam>T4 tezu AsPAlya liKet arAn
",agnipurana,"paYcan anta svara sidDi arTam tezu AsPAlya liKet arAn
",B-C I-C I-C I-C I-C O O O O,"0,3 Km|0,4 T6|0,5 T4|1,3 K1","0,3 Tatpurusha|0,4 Tatpurusha|0,5 Tatpurusha|1,3 Tatpurusha","<<<paYcan-<anta-svara>Tatpurusha>Tatpurusha-sidDi>Tatpurusha-arTam>Tatpurusha tezu AsPAlya liKet arAn
"
309,"<<indIvara-dala>T6-AkArAn>T6 aTavA mAtuluNgavat
",agnipurana,"indIvara dala AkArAn aTavA mAtuluNgavat
",B-C I-C I-C O O,"0,2 T6|0,3 T6","0,2 Tatpurusha|0,3 Tatpurusha","<<indIvara-dala>Tatpurusha-AkArAn>Tatpurusha aTavA mAtuluNgavat
"
310,"<<padma-patra>T6-AyatAn>K4 vA api liKet <icCA-anurUpataH>T6
",agnipurana,"padma patra AyatAn vA api liKet icCA anurUpataH
",B-C I-C I-C O O O B-C I-C,"0,2 T6|0,3 K4|6,8 T6","0,2 Tatpurusha|0,3 Tatpurusha|6,8 Tatpurusha","<<padma-patra>Tatpurusha-AyatAn>Tatpurusha vA api liKet <icCA-anurUpataH>Tatpurusha
"
311,"BrAmayitvA bahiH nemO <<ara-sanDi>T6-antare>T6 sTitaH
",agnipurana,"BrAmayitvA bahiH nemO ara sanDi antare sTitaH
",O O O B-C I-C I-C O,"3,5 T6|3,6 T6","3,5 Tatpurusha|3,6 Tatpurusha","BrAmayitvA bahiH nemO <<ara-sanDi>Tatpurusha-antare>Tatpurusha sTitaH
"
312,"<<upadvAra-prasidDi>T6-arTam>T4 trIRi antaH paYca bAhyataH
",agnipurana,"upadvAra prasidDi arTam trIRi antaH paYca bAhyataH
",B-C I-C I-C O O O O,"0,2 T6|0,3 T4","0,2 Tatpurusha|0,3 Tatpurusha","<<upadvAra-prasidDi>Tatpurusha-arTam>Tatpurusha trIRi antaH paYca bAhyataH
"
313,"<vITI-padmAni>T6 dvAtriMSat <paNkti-<vITi-kajAni>T6>T6 aTa
",agnipurana,"vITI padmAni dvAtriMSat paNkti vITi kajAni aTa
",B-C I-C O B-C I-C I-C O,"0,2 T6|3,6 T6|4,6 T6","0,2 Tatpurusha|3,6 Tatpurusha|4,6 Tatpurusha","<vITI-padmAni>Tatpurusha dvAtriMSat <paNkti-<vITi-kajAni>Tatpurusha>Tatpurusha aTa
"
314,"catvAriMSat tataH vITI <Seza-<paNkti-trayeRa>T6>K1 ca
",agnipurana,"catvAriMSat tataH vITI Seza paNkti trayeRa ca
",O O O B-C I-C I-C O,"3,6 K1|4,6 T6","3,6 Tatpurusha|4,6 Tatpurusha","catvAriMSat tataH vITI <Seza-<paNkti-trayeRa>Tatpurusha>Tatpurusha ca
"
315,"<dvAra-<SoBA-upaSoBAH>Di>T6 syuH dikzu maDye vilopya ca
",agnipurana,"dvAra SoBA upaSoBAH syuH dikzu maDye vilopya ca
",B-C I-C I-C O O O O O,"0,3 T6|1,3 Di","0,3 Tatpurusha|1,3 Dvandva","<dvAra-<SoBA-upaSoBAH>Dvandva>Tatpurusha syuH dikzu maDye vilopya ca
"
316,"<dvi-catuH>Bss <<zaw-dvAra>Km-sidDyE>T6 <catur-dikzu>Km vilopayet
",agnipurana,"dvi catuH zaw dvAra sidDyE catur dikzu vilopayet
",B-C I-C B-C I-C I-C B-C I-C O,"0,2 Bss|2,4 Km|2,5 T6|5,7 Km","0,2 Bahuvrihi|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha","<dvi-catuH>Bahuvrihi <<zaw-dvAra>Tatpurusha-sidDyE>Tatpurusha <catur-dikzu>Tatpurusha vilopayet
"
317,"ityAdi <mahat-purARe>K1 Agneye <<maRqala-Adi>Bs6-lakzaRam>T6 nAma UnatriMSaH aDyAyaH
",agnipurana,"ityAdi mahat purARe Agneye maRqala Adi lakzaRam nAma UnatriMSaH aDyAyaH
",O B-C I-C O B-C I-C I-C O O O,"1,3 K1|4,6 Bs6|4,7 T6","1,3 Tatpurusha|4,6 Bahuvrihi|4,7 Tatpurusha","ityAdi <mahat-purARe>Tatpurusha Agneye <<maRqala-Adi>Bahuvrihi-lakzaRam>Tatpurusha nAma UnatriMSaH aDyAyaH
"
318,"<<vAsudeva-Adi>Bs6-mUrttIH>K1 ca taTA ca eva <daSan-Atmakam>Bs6
",agnipurana,"vAsudeva Adi mUrttIH ca taTA ca eva daSan Atmakam
",B-C I-C I-C O O O O B-C I-C,"0,2 Bs6|0,3 K1|7,9 Bs6","0,2 Bahuvrihi|0,3 Tatpurusha|7,9 Bahuvrihi","<<vAsudeva-Adi>Bahuvrihi-mUrttIH>Tatpurusha ca taTA ca eva <daSan-Atmakam>Bahuvrihi
"
319,"GrARam <vAk-pARi-pAdam>Ds ca <dvAtriMSat-vArijezu>Km imAn
",agnipurana,"GrARam vAk pARi pAdam ca dvAtriMSat vArijezu imAn
",O B-C I-C I-C O B-C I-C O,"1,4 Ds|5,7 Km","1,4 Dvandva|5,7 Tatpurusha","GrARam <vAk-pARi-pAdam>Dvandva ca <dvAtriMSat-vArijezu>Tatpurusha imAn
"
320,"<<<puruza-uttama>T7-Adi>Bs6-zaqviMSAn>K1 <bAhya-AvaraRake>T6 yajet
",agnipurana,"puruza uttama Adi zaqviMSAn bAhya AvaraRake yajet
",B-C I-C I-C I-C B-C I-C O,"0,2 T7|0,3 Bs6|0,4 K1|4,6 T6","0,2 Tatpurusha|0,3 Bahuvrihi|0,4 Tatpurusha|4,6 Tatpurusha","<<<puruza-uttama>Tatpurusha-Adi>Bahuvrihi-zaqviMSAn>Tatpurusha <bAhya-AvaraRake>Tatpurusha yajet
"
321,"<<latA-vitAna-patra>Di-AdyEH>Bs6 vITikAm upaSoBayet
",agnipurana,"latA vitAna patra AdyEH vITikAm upaSoBayet
",B-C I-C I-C I-C O O,"0,3 Di|0,4 Bs6","0,3 Dvandva|0,4 Bahuvrihi","<<latA-vitAna-patra>Dvandva-AdyEH>Bahuvrihi vITikAm upaSoBayet
"
322,"<sita-SyAma-aruRAH>Di kfzRAH pItAH reKAH tu bAhyataH
",agnipurana,"sita SyAma aruRAH kfzRAH pItAH reKAH tu bAhyataH
",B-C I-C I-C O O O O O,"0,3 Di","0,3 Dvandva","<sita-SyAma-aruRAH>Dvandva kfzRAH pItAH reKAH tu bAhyataH
"
323,"<<SAli-pizwa>T6-Adi>Bs6 Suklam syAt raktam <kOsumBaka-Adikam>Bs6
",agnipurana,"SAli pizwa Adi Suklam syAt raktam kOsumBaka Adikam
",B-C I-C I-C O O O B-C I-C,"0,2 T6|0,3 Bs6|6,8 Bs6","0,2 Tatpurusha|0,3 Bahuvrihi|6,8 Bahuvrihi","<<SAli-pizwa>Tatpurusha-Adi>Bahuvrihi Suklam syAt raktam <kOsumBaka-Adikam>Bahuvrihi
"
324,"<<SamI-patra>T6-AdikEH>Bs6 SyAmam bIjAnAm <lakza-jApyataH>K1
",agnipurana,"SamI patra AdikEH SyAmam bIjAnAm lakza jApyataH
",B-C I-C I-C O O B-C I-C,"0,2 T6|0,3 Bs6|5,7 K1","0,2 Tatpurusha|0,3 Bahuvrihi|5,7 Tatpurusha","<<SamI-patra>Tatpurusha-AdikEH>Bahuvrihi SyAmam bIjAnAm <lakza-jApyataH>Tatpurusha
"
325,"evam <<dvi-tri>Bss-guRena>Km eva <<maDyama-uttama>Di-sidDayaH>K1
",agnipurana,"evam dvi tri guRena eva maDyama uttama sidDayaH
",O B-C I-C I-C O B-C I-C I-C,"1,3 Bss|1,4 Km|5,7 Di|5,8 K1","1,3 Bahuvrihi|1,4 Tatpurusha|5,7 Dvandva|5,8 Tatpurusha","evam <<dvi-tri>Bahuvrihi-guRena>Tatpurusha eva <<maDyama-uttama>Dvandva-sidDayaH>Tatpurusha
"
326,"<varAha-siMha-SaktInAm>Di <sTUla-rUpam>K1 praDAnataH
",agnipurana,"varAha siMha SaktInAm sTUla rUpam praDAnataH
",B-C I-C I-C B-C I-C O,"0,3 Di|3,5 K1","0,3 Dvandva|3,5 Tatpurusha","<varAha-siMha-SaktInAm>Dvandva <sTUla-rUpam>Tatpurusha praDAnataH
"
327,"<<hft-puRqarIka>K6-nilayam>Bs6 cEtanyam jyotiH <na-vyayam>Tn
",agnipurana,"hft puRqarIka nilayam cEtanyam jyotiH na vyayam
",B-C I-C I-C O O B-C I-C,"0,2 K6|0,3 Bs6|5,7 Tn","0,2 Tatpurusha|0,3 Bahuvrihi|5,7 Tatpurusha","<<hft-puRqarIka>Tatpurusha-nilayam>Bahuvrihi cEtanyam jyotiH <na-vyayam>Tatpurusha
"
328,"bIjam <bIja-Atmakam>Bs6 DyAyet <<kadamba-kusuma>T6-Akftim>Bsu
",agnipurana,"bIjam bIja Atmakam DyAyet kadamba kusuma Akftim
",O B-C I-C O B-C I-C I-C,"1,3 Bs6|4,6 T6|4,7 Bsu","1,3 Bahuvrihi|4,6 Tatpurusha|4,7 Bahuvrihi","bIjam <bIja-Atmakam>Bahuvrihi DyAyet <<kadamba-kusuma>Tatpurusha-Akftim>Bahuvrihi
"
329,"<<kumBa-antara>T6-gataH>T2 dIpaH <nirudDa-prasavaH>Bs6 yaTA
",agnipurana,"kumBa antara gataH dIpaH nirudDa prasavaH yaTA
",B-C I-C I-C O B-C I-C O,"0,2 T6|0,3 T2|4,6 Bs6","0,2 Tatpurusha|0,3 Tatpurusha|4,6 Bahuvrihi","<<kumBa-antara>Tatpurusha-gataH>Tatpurusha dIpaH <nirudDa-prasavaH>Bahuvrihi yaTA
"
330,"<<na-eka>Tn-Suzire>Bs7 kumBe tAvanmAtrAH gaBastayaH
",agnipurana,"na eka Suzire kumBe tAvanmAtrAH gaBastayaH
",B-C I-C I-C O O O,"0,2 Tn|0,3 Bs7","0,2 Tatpurusha|0,3 Bahuvrihi","<<na-eka>Tatpurusha-Suzire>Bahuvrihi kumBe tAvanmAtrAH gaBastayaH
"
331,"hfdayAt prasTitAH nAqyaH <<darSana-indriya>T6-gocarAH>T6
",agnipurana,"hfdayAt prasTitAH nAqyaH darSana indriya gocarAH
",O O O B-C I-C I-C,"3,5 T6|3,6 T6","3,5 Tatpurusha|3,6 Tatpurusha","hfdayAt prasTitAH nAqyaH <<darSana-indriya>Tatpurusha-gocarAH>Tatpurusha
"
332,"<<agni-soma>Di-Atmake>Bs6 tAsAm nAqyO <<nAsA-agra>T6-saMsTite>T7
",agnipurana,"agni soma Atmake tAsAm nAqyO nAsA agra saMsTite
",B-C I-C I-C O O B-C I-C I-C,"0,2 Di|0,3 Bs6|5,7 T6|5,8 T7","0,2 Dvandva|0,3 Bahuvrihi|5,7 Tatpurusha|5,8 Tatpurusha","<<agni-soma>Dvandva-Atmake>Bahuvrihi tAsAm nAqyO <<nAsA-agra>Tatpurusha-saMsTite>Tatpurusha
"
333,"<<japa-DyAna>Di-rataH>T7 mantrI <mantra-lakzaRam>T6 aSnute
",agnipurana,"japa DyAna rataH mantrI mantra lakzaRam aSnute
",B-C I-C I-C O B-C I-C O,"0,2 Di|0,3 T7|4,6 T6","0,2 Dvandva|0,3 Tatpurusha|4,6 Tatpurusha","<<japa-DyAna>Dvandva-rataH>Tatpurusha mantrI <mantra-lakzaRam>Tatpurusha aSnute
"
